Crop,"1,3 DICHLOROPROPENE","1,4-DIMETHYLNAPHTALENE",1-MCP,"2,4-D",ABAMECTIN,ACEQUINOCYL,ACETAMIPRID,ACLONIFEN,ACRINATHRIN,ALACHLOR,ALDRIN,AMETOCTRADIN,AMINOTRIAZOLE,AMITRAZ,ATRAZINE,AZOCYCLOTIN,AZOXYSTROBIN,BENALAXYL,BENFLURALIN,BENTAZONE,BENTHIAVALICARB- ISOPROPYL,BIFENAZATE,BIFENTHRIN,BITERTANOL,BOSCALID,BROMACIL,BROMOPROPYLATE,BROMOXYNIL,BROMUCONAZOLE,BUPIRIMATE,BUPROFEZIN,CAPTAN,CARBARYL,CARBENDAZIM,CARBOXIN,CARFENTRAZONE ETHYL,CHLORANTRANILIPROLE,CHLORDANE,CHLORFENAPYR,CHLORFLUAZURON,CHLORIDAZON,CHLORMEQUAT CHLORIDE,CHLOROTHALONIL,CHLORPROPHAM,CHLORPYRIFOS,CHLORSULFURON,CHLORTHAL DIMETHYL,CINIDON ETHYL,CLETHODIM,CLODINAFOP PROPARGYL,CLOFENTEZINE,CLOMAZONE,CLOPYRALID,CLOQUINTOCET MEXYL,CLOTHIANIDIN,CYANTRANILIPROLE,CYCLOXYDIM,CYFLUFENAMID,CYFLUMETOFEN,CYFLUTHRIN,CYHEXATIN,CYMOXANIL,CYPERMETHRIN,CYPROCONAZOLE,CYPRODINIL,CYPROSULFAMIDE,CYROMAZINE,D.D.T.,DELTAMETHRIN,DIAFENTHIURON,DICAMBA,DICHLORPROP-P,DICLOFOP METHYL,DIDECYL DIMETHYL AMMONIUM CHLORIDE,DIETHOFENCARB,DIFENOCONAZOLE,DIFLUBENZURON,DIFLUFENICAN,DIMETHENAMID,DIMETHOATE,DIMETHOMORPH,DIMETHYL DISULFIDE,DINICONAZOLE-M,DINOCAP,DINOTEFURAN,DIPHENYLAMINE,DIQUAT,DITHIANON,DITHIOCARBAMATES,DIURON,DODINE,EMAMECTIN BENZOATE,ENDRIN,ESFENVALERATE,ETHALFLURALIN,ETHEPHON,ETHOXYQUIN,ETOFENPROX,ETOXAZOLE,FAMOXADONE,FENAMIDONE,FENAMIPHOS,FENARIMOL,FENAZAQUIN,FENBUCONAZOLE,FENBUTATIN OXIDE,FENHEXAMID,FENOXAPROP-P-ETHYL,FENOXYCARB,FENPYROXIMATE,FLONICAMID,FLORASULAM,FLUAZIFOP-P-BUTYL,FLUAZINAM,FLUBENDIAMIDE,FLUDIOXONIL,FLUENSULFONE,FLUFENACET,FLUFENOXURON,FLUMETSULAM,FLUMIOXAZIN,FLUOMETURON,FLUOPICOLIDE,FLUOPYRAM,FLUOXASTROBIN,FLUPYRADIFURONE,FLUROCHLORIDONE,FLUROXYPYR,FLURPRIMIDOL,FLUTOLANIL,FLUTRIAFOL,FOLPET,FOMESAFEN,FORAMSULFURON,FORCHLORFENURON,FORMETANATE HCL,FOSETYL AL,GLUFOSINATE AMMONIUM,GLYPHOSATE,GUAZATINE,HALAUXIFEN METHYL,HALOXYFOP R METHYL,HEPTACHLOR,HYMEXAZOL,IMAZALIL,IMAZAMOX,IMAZAPIC,IMAZAPYR,IMAZETHAPYR,IMIDACLOPRID,IN ACCREDITATION=,INDOXACARB,IODOSULFURON METHYL SODIUM,IPRODIONE,IPROVALICARB,ISOXABEN,ISOXADIFEN ETHYL,ISOXAFLUTOLE,KRESOXIM METHYL,LAMBDA CYHALOTHRIN,LINDANE,LINURON,LUFENURON,MALATHION,MALEIC HYDRAZIDE,MANDIPROPAMID,MCPA,MECOPROP-P,MEFENPYR DIETHYL,MEPANIPYRIM,MEPTYLDINOCAP,MESOSULFURON-METHYL,METAFLUMIZONE,METALAXYL,METAM SODIUM,METAMITRON,METAZACHLOR,METHIOCARB,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOMINOSTROBIN,METRAFENONE,METRIBUZIN,MILBEMECTIN,MSMA,MYCLOBUTANIL,NOVALURON,ORTHO PHENYLPHENOL,OXADIARGYL,OXADIAZON,OXAMYL,OXATHIAPIPROLIN,OXOLINIC ACID,OXYFLUORFEN,PACLOBUTRAZOLE,PARAQUAT,PCNB (QUINTOZENE),PENCONAZOLE,PENCYCURON,PENDIMETHALIN,PERMETHRIN,PHOSMET,PICOXYSTROBIN,PINOXADEN,PIPERONYL BUTOXIDE,PIRIMICARB,PIRIMIPHOS-METHYL,PROCHLORAZ,PROHEXADIONE CALCIUM,PROMETRYNE,PROPAMOCARB HCL,PROPAQUIZAFOP,PROPARGITE,PROPOXYCARBAZONE-SODIUM,PROPYZAMIDE,PROQUINAZID,PYMETROZINE,PYRACLOSTROBIN,PYRAFLUFEN-ETHYL,PYRIDABEN,PYRIDALYL,PYRIDATE,PYRIMETHANIL,PYRIMIDIFEN,PYRIOFENONE,PYRIPROXYFEN,PYRITHIOBAC SODIUM,QUINOXYFEN,QUIZALOFOP-P-ETHYL,QUIZALOFOP-P-TEFURYL,RIMSULFURON,SPINETORAM,SPINOSAD,SPIRODICLOFEN,SPIROMESIFEN,SPIROTETRAMAT,SPIROXAMINE,SULFENTRAZONE,SULFOSULFURON,SULFOXAFLOR,TAU-FLUVALINATE,TEBUCONAZOLE,TEBUFENPYRAD,TEFLUBENZURON,TERBACIL,TERBUTRYN,TETRACONAZOLE,TETRADIFON,THIABENDAZOLE,THIACLOPRID,THIAMETHOXAM,THIDIAZURON,THIOCYCLAM HYDROGEN OXALATE,TOLCLOFOS METHYL,TOLFENPYRAD,TRIADIMEFON,TRIADIMENOL,TRIASULFURON,TRIBENURON METHYL,"TRICLOPYR (3,5,6-TPA)",TRIFLOXYSTROBIN,TRIFLOXYSULFURON,TRIFLUMURON,TRIFORINE,UNICONAZOLE,VALIFENALATE,ZOXAMIDE
CELERIAC,,,,,0.01,,3.0,,,,,,,,,,0.5,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,0.5,,,,,,,,0.2,,,,,,0.2,,,,5.0,,0.5,,,,,,,0.4,,0.02,,,10.0,,,,,,,,5.0,,,0.01,,,,,,,0.2,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,2.0,,5.0,,,,,,,,0.05,0.05,1.0,,,,,,,,,,,,,,1.0,2.0,0.05,,,,,,,,1.0,,,0.02,,,,0.02,,,,,,,,,,,,1.0,,,,0.2,,,,,,,1.0,0.2,,,,,,,,,,,0.1,,,0.1,,,,1.0,,,,,,0.2,,0.5,,,0.05,,,0.5,,,0.05,2.0,,,,,,,,,,,,,
CEREALS,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERBIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,2.0,,,,,,
CHERRY,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0.02,,,,,,,0.05,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,
CHICK PEA,,,,,0.02,,,0.02,,,,,0.02,,,,0.05,,0.02,,,,0.01,,0.5,,,,,,,,,,0.01,0.01,0.05,,,,,,1.0,,,,,,0.5,,,,,,,,0.2,,,,,,,0.05,,,,,,,,,0.2,,,0.1,,,,,,,,,,,,,0.5,,,,,,,,,,,0.05,,,,,,,,,,,,,0.1,,0.15,,,0.02,,0.01,,,,,,,0.01,,,,,,0.01,,,,,,0.1,,,0.02,,,,,,,,0.3,,0.02,,,,,,0.01,,0.05,,,,,,,,,,,,,,0.05,,,0.05,0.05,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,0.05,,,1.0,0.05,,,,,,,0.1,,,0.01,,,,,,0.01,,,,0.2,,,,0.02,,,,,,,,,,,,,,,,,,,,,
CHINESE CABBAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,5.0,,,,,,,,,0.05,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIVES,,,,,0.05,0.7,,,,,,,,,,,15.0,,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,2.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.6,,,,,,0.01,,,3.0,,,,1.0,,,0.1,,,,,,,0.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,2.0,,,1.5,,,,,,,,0.05,,,,,,,,,,,0.5,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,0.05,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CITRUS FRUIT,,,,1.0,0.01,,0.05,,,,,,0.02,,,,0.3,,,,,,0.05,,0.1,0.1,2.0,,,,0.3,15.0,,,,0.02,,,,,,3.0,,,0.3,,,,0.5,,0.5,,,,,,0.2,,0.1,,2.0,,,,,,,,,,,0.01,,5.0,,,,0.02,,,,,,,,,,,1.0,0.1,,,,,,,,0.2,0.05,0.05,,,,0.1,,5.0,,,,0.05,0.1,,,,,1.0,,0.02,,,0.01,,,,,,,0.01,,,0.2,,,,,,5.0,0.01,0.2,5.0,,,,,5.0,,,,,0.5,,,,1.0,,0.01,,,,,,,,2.0,,,,,,,,,,5.0,0.05,,,0.05,,,,,,,0.05,0.01,3.0,,10.0,,0.02,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,0.02,,0.1,0.03,,,,,5.0,,,0.5,,,0.1,,,0.02,0.05,0.05,,0.5,,,,0.5,0.5,,0.05,1.0,,,,2.0,5.0,,0.05,,,,,,,,,0.01,,,,,,,
CLOVER,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
CORIANDER,,,,,,0.7,3.0,0.02,,,,,,,,,0.6,,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,2.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.4,,,,,10.0,,,,3.0,,,,5.0,,,0.1,,,,,,,0.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,0.05,,,,,,,,,,,0.5,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,1.0,,3.0,,,,,,,,,0.05,2.0,,,1.0,,,,,,,,,,,0.02,,,0.5,,,,,,,,,,,2.0,,,,,,
CORN,,,,,,,0.05,,,0.02,,,0.02,,0.01,,0.02,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.02,,,0.01,,,,,,,,,,0.01,,,,,,0.05,,,,,0.1,,,,,,,,,,,0.01,,0.02,,5.0,,,0.05,0.01,,0.05,,,0.1,0.01,,,0.5,,,,,,0.01,,,,,,0.02,0.05,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,0.1,0.01,0.05,,,,,,,,,,,0.2,,,,1.0,,0.1,,,,,,,,,,,,,0.2,,,,
COTTON,,,,,0.01,,0.05,,,0.02,,,0.02,0.5,,0.1,0.02,,,,,,0.02,,0.2,,,0.1,,,0.1,,,,0.01,0.02,0.05,,,0.5,,,,,,,,,0.5,,,,,,,,0.2,,,0.05,0.05,,0.2,,,,,,0.1,0.05,,,,,,0.1,,,,,,,,,0.05,,0.02,,2.0,0.1,,0.01,,0.2,,0.1,,,,0.05,,,,,,,,,,,,,0.1,,,,,,,,,0.1,,,,,0.01,,,,,,,,,,,0.01,0.5,,,0.02,0.02,,,,,,,0.1,,0.02,,,,,,,,0.05,,0.05,0.05,,,,,,,,,,,0.05,,,,,0.5,0.5,,,,,,0.01,,0.02,,,,,,,0.02,,0.02,0.03,,,0.1,,,,,,0.05,,,,,,0.01,0.1,,,,,0.2,,,0.05,,,,,0.02,0.05,,0.1,0.1,,0.01,,,0.02,,,,,,,0.2,,0.2,,,,1.0,,0.02,,0.01,,,,,,,,,,0.01,,,,,
CUCUMBER,0.01,,,,0.01,0.05,0.05,,0.2,,,0.02,,,,,0.5,0.05,,,0.05,0.05,,,0.3,,,,0.05,0.03,1.0,,,0.1,,,0.02,,0.05,0.2,,,5.0,,,,,,,,1.0,,,,,0.05,,0.1,0.1,0.5,,0.05,0.2,0.3,0.3,,0.2,,0.2,0.05,,,,,0.1,,,,,,0.1,0.01,,0.05,0.1,,,,1.0,,,,,0.2,0.02,,,2.0,0.02,,0.05,,0.05,0.1,0.2,0.5,0.5,,,0.05,0.05,,0.1,,0.01,0.2,0.2,,,,,,0.1,0.2,,,,,,,,0.5,,,,0.2,2.0,,,,,,,0.05,,,,,,1.0,,,,2.0,0.05,,,,0.1,0.02,,,,3.0,,,,,,0.1,,,,0.5,0.05,,,,0.2,,,,0.3,,0.01,,0.3,,,,,0.01,,,,,,,0.1,,,,,,,,1.0,,0.02,,,2.0,,0.5,,,,,2.0,,0.05,0.1,,1.0,,0.05,,,,,,,0.05,0.5,0.02,0.02,,,,,,,0.02,0.05,,,,0.1,1.0,,,0.1,,0.05,,0.02,,0.1,,,,,,,0.5,,0.05,
CUCURBITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYMBOPOGON,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.15,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,0.01,,0.05,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.05,,,,,,,,,0.02,,2.0,,,,0.5,,,,,,,,,,,,,,,2.0,,0.05,,
DILL,,,,,,0.7,3.0,0.02,,,,,,,,,2.5,,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,0.05,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.4,,,,,10.0,,,,3.0,,,,5.0,,,0.1,,,,,,,0.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,0.05,,,,,,,,,,,0.5,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,1.0,,,,0.2,,,,,,,1.0,2.0,,,1.0,,3.0,,,,,,,,,0.05,2.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,2.0,,,,2.0,,,,,,
EDIBLE OFFAL,,,,0.05,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.1,,,,,,,,,,,,,,0.05,,,,0.3,0.3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.01,,,,,,,,,,,
EGG PLANT,,,,,0.01,0.7,0.05,,0.2,,,,,,,0.1,0.5,,,,,0.05,0.2,,0.3,,,,,,0.2,,,0.1,,,,,,0.2,,,,,,,,,0.5,,1.0,,,,,0.2,,0.05,0.1,,0.1,,0.2,0.05,0.5,,0.5,,0.2,0.05,,,,,0.1,,,,,,,0.01,,0.05,0.02,,,,3.0,,,0.01,,0.5,,,,2.0,0.05,,,,0.5,0.1,0.5,0.5,0.5,,,0.05,,,,,,0.3,0.05,,,,,,,,,,,,,,0.02,,,,,0.5,,,,,,,,,,,,,,0.3,,,,5.0,,,,,,0.2,,,0.2,0.5,,,,,,,,,,,0.05,,,,0.2,,,0.2,,,0.05,,0.3,0.05,,,0.02,2.0,,,0.02,,,,0.2,,,,,,,,,,5.0,,,,,0.5,,,,,0.03,,0.05,,,,0.02,,0.02,,,,,,,0.05,,1.0,0.05,,,,,,0.2,0.05,0.5,,,,1.0,,,0.05,,,,,,0.1,,,,0.2,,,0.5,,,
EGGS,,,,0.01,,,,,,,0.1,,,,0.02,,,,,,,,,,,,,,,,,,0.05,,,,,0.02,,,,0.1,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.1,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,
ESTRAGON,,,,,0.05,0.7,3.0,,,,,,,,,,0.6,,,,,1.0,1.0,,4.0,,,,,,4.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.4,,,,,10.0,,,,3.0,,,,5.0,,,0.1,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,0.05,,,,,,,,,,,,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,3.0,,,,,,,,,0.05,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEIJOA,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FENNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FODDER BEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.5,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.05,0.1,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
FORAGE CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
FRUITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,0.02,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARLIC,,,,,,,,,,,,,,,,,0.05,,,,,,,,1.5,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.2,,,,,0.05,0.1,0.05,,,,,0.04,,,,,,,0.1,,0.02,,,,,,,,,,,0.5,,,,,0.05,,,,,,,,0.05,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.05,,,,,0.3,,,0.01,0.02,0.005,,,0.02,,,,,,0.1,,,,,,,,,,,,0.01,,,,,,0.3,,,,,,,,,,,0.1,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.1,,,,,,
GOOSEBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPES,,,,,0.02,,0.05,,0.3,,,0.5,0.02,,,,0.6,0.3,,,0.2,,2.0,,6.0,,2.0,,,0.2,2.0,5.0,,,,0.02,0.4,,,,,,,,0.1,,,,0.5,,,,,,1.0,,0.2,0.1,,,,,1.0,,2.0,,,,0.2,,,,,,,0.1,,0.02,,,0.5,,,0.05,0.1,,,,5.0,0.1,,0.3,,0.5,,2.0,,2.0,,,0.5,0.02,0.3,,1.0,,4.0,,2.5,0.05,0.5,,0.1,0.2,1.0,1.0,,0.02,2.0,,0.01,,,0.4,,,,,,,,7.0,,,0.01,,5.0,0.01,0.2,,,0.02,,,,,,,,0.1,,1.0,,10.0,0.05,,,,0.5,0.2,,0.05,3.0,,,,,,,,0.1,,,1.0,,,,0.05,,2.0,,0.2,5.0,,,,1.0,,,,0.02,,0.15,,0.02,,,,0.2,,,,,,,,,,,,,,0.01,,,0.02,0.05,,2.0,,,,,2.0,,,,,0.5,,,,0.1,0.2,,,0.5,0.05,,,,1.0,2.0,,1.0,,,0.5,,,0.02,0.3,,,,,,2.0,,,,1.0,,,,,,
