Commodity_Name,Commodity_Code,Pesticide_Name,MRL_Value,Flag_Po_Fat,Year_Legal_CAC,Full_Notes,Year_Science_JMPR,Flag_Status,Is_LOD,Commodity_ID,Pesticide_ID,crop_id_mapping,crop_name_mapping,crop_reasoning,pesticide_id_mapping,pesticide_name_mapping,pesticide_reasoning
Blueberries,FB 0020,Fludioxonil,2.0,,2019.0,,2018,,False,,211.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,121,FLUDIOXONIL,השם 'Fludioxonil' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 121).
Blueberries,FB 0020,Pyrimethanil,8.0,,2016.0,,2015,,False,,226.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,237,PYRIMETHANIL,'Pyrimethanil' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 237).
Blueberries,FB 0020,Spinosad,0.4,,2012.0,,2011,,False,,203.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,249,SPINOSAD,השם 'Spinosad' מופיע ברשימת הייחוס בדיוק באיות זהה תחת מזהה 249. לכן זו ההתאמה הנכונה.
Blueberries,FB 0020,Bifenthrin,3.0,,2016.0,,2015,,False,,178.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,25,BIFENTHRIN,השם 'Bifenthrin' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 25: BIFENTHRIN).
Blueberries,FB 0020,Trifloxystrobin,3.0,,2022.0,,2021,,False,,213.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,278,TRIFLOXYSTROBIN,'Trifloxystrobin' מופיע ברשימת חומרי ההדברה (ID 278) כהתאמה מדויקת.
Blueberries,FB 0020,Captan,20.0,,2005.0,,"19,942,000",,False,,7.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,34,CAPTAN,"Captan מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 34), לכן המיפוי ישיר."
Blueberries,FB 0020,Phosmet,10.0,,2008.0,,2007,,False,,103.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,215,PHOSMET,"השם 'Phosmet' מופיע ברשימת הייחוס תחת אותו שם (ID 215), ולכן זו התאמה מדויקת."
Blueberries,FB 0020,Fenhexamid,5.0,,2006.0,,2005,,False,,215.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
Blueberries,FB 0020,Spirodiclofen,4.0,,2015.0,,2014,,False,,237.0,,,היבול 'Blueberries' (אוכמניות) אינו מופיע ברשימת הייחוס באנגלית או בעברית ולכן לא ניתן למפות.,250,SPIRODICLOFEN,השם 'Spirodiclofen' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 250: SPIRODICLOFEN).
"Currants, black, red, white",FB 0021,Myclobutanil,0.9,,2015.0,,2014,,False,,181.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",197,MYCLOBUTANIL,'Myclobutanil' הוא שם זהה ל-'MYCLOBUTANIL' (ID 197) ברשימת הייחוס.
"Currants, black, red, white",FB 0021,Cyhexatin,0.1,,2006.0,,2005,,False,,67.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",64,CYHEXATIN,"השם 'Cyhexatin' מופיע ברשימת הייחוס תחת אותו שם (ID 64), ולכן זו התאמה מדויקת."
"Currants, black, red, white",FB 0021,Triadimenol,0.7,,2008.0,,2007,,False,,168.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",274,TRIADIMENOL,"'Triadimenol' מופיע ברשימת הייחוס (ID 274) בשם זהה, ולכן יש התאמה ברורה."
"Currants, black, red, white",FB 0021,Dithianon,2.0,,2014.0,,2013,,False,,180.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",91,DITHIANON,השם 'Dithianon' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 91: DITHIANON).
"Currants, black, red, white",FB 0021,Dithiocarbamates,10.0,,1999.0,,1995,,False,,105.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",92,DITHIOCARBAMATES,"'Dithiocarbamates' מופיע ברשימת חומרי ההדברה (ID 92), לכן בוצעה התאמה מדויקת."
"Currants, black, red, white",FB 0021,Trifloxystrobin,3.0,,2022.0,,2021,,False,,213.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",278,TRIFLOXYSTROBIN,'Trifloxystrobin' מופיע ברשימת חומרי ההדברה (ID 278) כהתאמה מדויקת.
"Currants, black, red, white",FB 0021,Chlorothalonil,20.0,,2011.0,,2010,,False,,81.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",45,CHLOROTHALONIL,Chlorothalonil הוא התאמה מדויקת לשם ברשימת חומרי ההדברה (ID 45).
"Currants, black, red, white",FB 0021,Spinetoram,0.5,,2018.0,,2017,,False,,233.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",248,SPINETORAM,"Spinetoram הוא שם זהה לרשימה (ID 248), ולכן ההתאמה ישירה וברורה."
"Currants, black, red, white",FB 0021,Kresoxim-Methyl,0.9,,2019.0,,2018,,False,,199.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",167,KRESOXIM METHYL,"'Kresoxim-Methyl' הוא שם זהה ל-KRESOXIM METHYL ברשימת הייחוס (ID 167). לכן, יש התאמה חד-משמעית."
"Currants, black, red, white",FB 0021,Clofentezine,0.2,,2008.0,,2007,,False,,156.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",53,CLOFENTEZINE,השם 'Clofentezine' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 53: CLOFENTEZINE).
"Currants, black, red, white",FB 0021,Glufosinate-Ammonium,1.0,,2013.0,,2012,,False,,175.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",145,GLUFOSINATE AMMONIUM,'Glufosinate-Ammonium' הוא וריאציה נפוצה של GLUFOSINATE AMMONIUM (ID 145) ברשימת הייחוס.
"Currants, black, red, white",FB 0021,Azocyclotin,0.1,,2006.0,,2005,,False,,129.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",18,AZOCYCLOTIN,Azocyclotin הוא התאמה מדויקת לשם ברשימת חומרי ההדברה (ID 18).
"Currants, black, red, white",FB 0021,Fenhexamid,5.0,,2006.0,,2005,,False,,215.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
"Currants, black, red, white",FB 0021,Permethrin,2.0,,,,,,False,,120.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",214,PERMETHRIN,Permethrin הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 214).
"Currants, black, red, white",FB 0021,Triadimefon,0.7,,2008.0,[Note: Based on triadimenol use only.],2007,,False,,133.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",273,TRIADIMEFON,"'Triadimefon' מופיע ברשימת הייחוס תחת אותו שם (273), לכן זו התאמה מדויקת."
"Currants, black, red, white",FB 0021,Spirodiclofen,1.0,,2010.0,,2009,,False,,237.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",250,SPIRODICLOFEN,השם 'Spirodiclofen' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 250: SPIRODICLOFEN).
"Currants, black, red, white",FB 0021,Fludioxonil,3.0,,2019.0,,2018,,False,,211.0,88,GOOSEBERRY,"השם 'Currants, black, red, white' מתייחס לסוגי דומדמניות (gooseberry באנגלית לעיתים מתייחס גם לדומדמניות אדומות, שחורות ולבנות). ברשימת הייחוס, 'ענבי שועל' (ID 88) הוא התרגום הנפוץ ל-gooseberry/currant, ולכן זו ההתאמה הסבירה ביותר.",121,FLUDIOXONIL,השם 'Fludioxonil' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 121).
Bilberry,FB 0261,Trifloxystrobin,3.0,,2022.0,,2021,,False,,213.0,,,Bilberry (אוכמנית) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,278,TRIFLOXYSTROBIN,'Trifloxystrobin' מופיע ברשימת חומרי ההדברה (ID 278) כהתאמה מדויקת.
Bilberry,FB 0261,Fenhexamid,5.0,,2006.0,,2005,,False,,215.0,,,Bilberry (אוכמנית) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
Blackberries,FB 0264,Pyrimethanil,15.0,,2016.0,,2015,,False,,226.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,237,PYRIMETHANIL,'Pyrimethanil' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 237).
Blackberries,FB 0264,Fenhexamid,15.0,,2006.0,,2005,,False,,215.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
Blackberries,FB 0264,Bifenthrin,1.0,,2011.0,,2010,,False,,178.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,25,BIFENTHRIN,השם 'Bifenthrin' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 25: BIFENTHRIN).
Blackberries,FB 0264,Permethrin,1.0,,,,,,False,,120.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,214,PERMETHRIN,Permethrin הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 214).
Blackberries,FB 0264,Fosetyl Al,70.0,,2021.0,[Note: Based on Fosetyl-Al use.],2019,,False,,302.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,144,FOSETYL AL,'Fosetyl Al' הוא שם זהה לשם ברשימת חומרי ההדברה (ID 144: FOSETYL AL).
Blackberries,FB 0264,Pyraclostrobin,3.0,,2012.0,,2011,,False,,210.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,232,PYRACLOSTROBIN,Pyraclostrobin הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 232).
Blackberries,FB 0264,Spinosad,1.0,,2012.0,,2011,,False,,203.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,249,SPINOSAD,השם 'Spinosad' מופיע ברשימת הייחוס בדיוק באיות זהה תחת מזהה 249. לכן זו ההתאמה הנכונה.
Blackberries,FB 0264,Bifenazate,7.0,,2011.0,,2010,,False,,219.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,24,BIFENAZATE,השם 'Bifenazate' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 24).
Blackberries,FB 0264,Fludioxonil,5.0,,2006.0,,2004,,False,,211.0,,,Blackberries (פטל שחור) אינו מופיע ברשימת הגידולים ולכן לא ניתן למפות אותו.,121,FLUDIOXONIL,השם 'Fludioxonil' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 121).
Cranberry,FB 0265,Dithiocarbamates,5.0,,1999.0,,1995,,False,,105.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,92,DITHIOCARBAMATES,"'Dithiocarbamates' מופיע ברשימת חומרי ההדברה (ID 92), לכן בוצעה התאמה מדויקת."
Cranberry,FB 0265,Dinotefuran,0.15,,2013.0,,2012,,False,,255.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,88,DINOTEFURAN,השם 'Dinotefuran' תואם בדיוק לשם באנגלית של קוטל חרקים ברשימת הייחוס (ID 88).
Cranberry,FB 0265,Propiconazole,0.3,,2008.0,,"2006, 2007",,False,,160.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,,,'Propiconazole' אינו מופיע ברשימת הייחוס ולכן לא ניתן למפות.
Cranberry,FB 0265,Acephate,0.5,,2007.0,,2006,,False,,95.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,,,השם Acephate אינו מופיע ברשימת חומרי ההדברה ולכן לא נמצאה התאמה.
Cranberry,FB 0265,Difenoconazole,0.6,,2022.0,,2021,,False,,224.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,79,DIFENOCONAZOLE,השם 'Difenoconazole' תואם בדיוק לשם באנגלית של קוטל פטריות ברשימת הייחוס (ID 79).
Cranberry,FB 0265,,15.0,,,"[CCPR: Withdrawal recommended (JMPR 2010). The CCPR decided to retain the CXL for four years under the periodic review, noting the manufacturers would submit supporting data for these commodities (43-34). The CCPR agreed to maintain the CXL for cranberry, until the submission of data for evaluation by the 2018 JMPR. (48-39). Recommended for withdrawal (JMPR 2019)]",,,False,,,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,,,
Cranberry,FB 0265,Azoxystrobin,0.5,,2009.0,,2008,,False,,229.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,19,AZOXYSTROBIN,'Azoxystrobin' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 19).
Cranberry,FB 0265,Cyantraniliprole,0.08,,2019.0,,2018,,False,,263.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,58,CYANTRANILIPROLE,"'Cyantraniliprole' הוא שם זהה לרשימת הייחוס (CYANTRANILIPROLE, מזהה 58)."
Cranberry,FB 0265,Indoxacarb,1.0,,2010.0,,2009,,False,,216.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,159,INDOXACARB,Indoxacarb הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 159).
Cranberry,FB 0265,Tebufenozide,0.5,,2004.0,,2001,,False,,196.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,,,"השם 'Tebufenozide' אינו מופיע ברשימת חומרי ההדברה ואין שם דומה או שם מסחרי מקביל, לכן לא נמצאה התאמה."
Cranberry,FB 0265,Phosmet,3.0,,2015.0,,2014,,False,,103.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,215,PHOSMET,"השם 'Phosmet' מופיע ברשימת הייחוס תחת אותו שם (ID 215), ולכן זו התאמה מדויקת."
Cranberry,FB 0265,Spinosad,0.02,,2012.0,,2011,,False,,203.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,249,SPINOSAD,השם 'Spinosad' מופיע ברשימת הייחוס בדיוק באיות זהה תחת מזהה 249. לכן זו ההתאמה הנכונה.
Cranberry,FB 0265,Prothioconazole,0.15,,2015.0,,2014,,False,,232.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,230,PROTHIOCONAZOLE,השם 'Prothioconazole' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 230: PROTHIOCONAZOLE).
Cranberry,FB 0265,Methoxyfenozide,0.7,,2010.0,,2009,,False,,209.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,189,METHOXYFENOZIDE,"'Methoxyfenozide' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 189), לכן בוצעה התאמה מדויקת."
Cranberry,FB 0265,Spirotetramat,0.2,,2014.0,,2013,,False,,234.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,252,SPIROTETRAMAT,'Spirotetramat' מופיע ברשימת חומרי ההדברה (ID 252) כהתאמה מדויקת.
Cranberry,FB 0265,Imidacloprid,0.05,,2007.0,(LOD),2006,,True,,206.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,157,IMIDACLOPRID,'Imidacloprid' מופיע ברשימת חומרי ההדברה (ID 157) כהתאמה מדויקת.
Cranberry,FB 0265,Fenbuconazole,1.0,,2013.0,,2009,,False,,197.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,108,FENBUCONAZOLE,'Fenbuconazole' מופיע ברשימת חומרי ההדברה (ID 108) כהתאמה מדויקת.
Cranberry,FB 0265,Mesotrione,0.01,,2015.0,(LOD),2014,,True,,277.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,181,MESOTRIONE,השם 'Mesotrione' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 181: MESOTRIONE).
Cranberry,FB 0265,Carbaryl,5.0,,2008.0,,2007,,False,,8.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,35,CARBARYL,'Carbaryl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 35).
Cranberry,FB 0265,Chlorothalonil,15.0,,2022.0,,2019,,False,,81.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,45,CHLOROTHALONIL,Chlorothalonil הוא התאמה מדויקת לשם ברשימת חומרי ההדברה (ID 45).
Cranberry,FB 0265,Quinclorac,1.5,,2023.0,,2022,,False,,287.0,,,לא נמצא ברשימת הגידולים גידול בשם 'Cranberry' או תרגום ישיר שלו (חמוציות). ייתכן שהגידול אינו כלול ברשימה.,,,"'Quinclorac' אינו מופיע ברשימת חומרי ההדברה ואין שם דומה או שם כימי מקביל, לכן לא נמצא התאמה."
Dewberries (including boysenberry and loganberry),FB 0266,Permethrin,1.0,,,,,,False,,120.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",214,PERMETHRIN,Permethrin הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 214).
Dewberries (including boysenberry and loganberry),FB 0266,Spinosad,1.0,,2012.0,,2011,,False,,203.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",249,SPINOSAD,השם 'Spinosad' מופיע ברשימת הייחוס בדיוק באיות זהה תחת מזהה 249. לכן זו ההתאמה הנכונה.
Dewberries (including boysenberry and loganberry),FB 0266,Bifenthrin,1.0,,2011.0,,2010,,False,,178.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",25,BIFENTHRIN,השם 'Bifenthrin' תואם בדיוק לשם ברשימת חומרי ההדברה (ID 25: BIFENTHRIN).
Dewberries (including boysenberry and loganberry),FB 0266,Bifenazate,7.0,,2011.0,,2010,,False,,219.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",24,BIFENAZATE,השם 'Bifenazate' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 24).
Dewberries (including boysenberry and loganberry),FB 0266,Fludioxonil,5.0,,2006.0,,2004,,False,,211.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",121,FLUDIOXONIL,השם 'Fludioxonil' תואם בדיוק לשם באנגלית ברשימת חומרי ההדברה (ID 121).
Dewberries (including boysenberry and loganberry),FB 0266,Fenhexamid,15.0,,2006.0,,2005,,False,,215.0,,,"לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Dewberries', 'boysenberry' או 'loganberry'. ייתכן שמדובר בגידולים שאינם כלולים ברשימה.",110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
Elderberries,FB 0267,Tebuconazole,1.5,,2012.0,,2011,,False,,189.0,,,לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Elderberries'. ייתכן שמדובר בגידול שאינו כלול ברשימה.,258,TEBUCONAZOLE,'Tebuconazole' מופיע ברשימת חומרי ההדברה (ID 258) כהתאמה מדויקת.
Elderberries,FB 0267,Cyclaniliprole,1.5,,2021.0,,2019,,False,,296.0,,,לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Elderberries'. ייתכן שמדובר בגידול שאינו כלול ברשימה.,,,"השם 'Cyclaniliprole' אינו מופיע ברשימת חומרי ההדברה ואין שם דומה או שם מסחרי מקביל, לכן לא נמצאה התאמה."
Elderberries,FB 0267,Fenhexamid,5.0,,2006.0,,2005,,False,,215.0,,,לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Elderberries'. ייתכן שמדובר בגידול שאינו כלול ברשימה.,110,FENHEXAMID,'Fenhexamid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 110).
Elderberries,FB 0267,Penthiopyrad,7.0,,2021.0,,2019,,False,,253.0,,,לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Elderberries'. ייתכן שמדובר בגידול שאינו כלול ברשימה.,213,PENTHIOPYRAD,Penthiopyrad הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 213).
Elderberries,FB 0267,Sulfoxaflor,2.0,,2022.0,,2021,,False,,252.0,,,לא נמצא ברשימת הגידולים שם באנגלית או בעברית התואם ל-'Elderberries'. ייתכן שמדובר בגידול שאינו כלול ברשימה.,256,SULFOXAFLOR,'Sulfoxaflor' זהה לאיות ברשימת הייחוס (ID 256).
